Country,Date,Confirmed,Death,newConfirmed,newDeath,Recoveries,Death Decresed or not
Iran,31-Dec-19,0,0,0,0,0,No
Iran,1-Jan-20,0,0,0,0,0,No
Iran,2-Jan-20,0,0,0,0,0,No
Iran,3-Jan-20,0,0,0,0,0,No
Iran,4-Jan-20,0,0,0,0,0,No
Iran,5-Jan-20,0,0,0,0,0,No
Iran,6-Jan-20,0,0,0,0,0,No
Iran,7-Jan-20,0,0,0,0,0,No
Iran,8-Jan-20,0,0,0,0,0,No
Iran,9-Jan-20,0,0,0,0,0,No
Iran,10-Jan-20,0,0,0,0,0,No
Iran,11-Jan-20,0,0,0,0,0,No
Iran,12-Jan-20,0,0,0,0,0,No
Iran,13-Jan-20,0,0,0,0,0,No
Iran,14-Jan-20,0,0,0,0,0,No
Iran,15-Jan-20,0,0,0,0,0,No
Iran,16-Jan-20,0,0,0,0,0,No
Iran,17-Jan-20,0,0,0,0,0,No
Iran,18-Jan-20,0,0,0,0,0,No
Iran,19-Jan-20,0,0,0,0,0,No
Iran,20-Jan-20,0,0,0,0,0,No
Iran,21-Jan-20,0,0,0,0,0,No
Iran,22-Jan-20,0,0,0,0,0,No
Iran,23-Jan-20,0,0,0,0,0,No
Iran,24-Jan-20,0,0,0,0,0,No
Iran,25-Jan-20,0,0,0,0,0,No
Iran,26-Jan-20,0,0,0,0,0,No
Iran,27-Jan-20,0,0,0,0,0,No
Iran,28-Jan-20,0,0,0,0,0,No
Iran,29-Jan-20,0,0,0,0,0,No
Iran,30-Jan-20,0,0,0,0,0,No
Iran,31-Jan-20,0,0,0,0,0,No
Iran,1-Feb-20,0,0,0,0,0,No
Iran,2-Feb-20,0,0,0,0,0,No
Iran,3-Feb-20,0,0,0,0,0,No
Iran,4-Feb-20,0,0,0,0,0,No
Iran,5-Feb-20,0,0,0,0,0,No
Iran,6-Feb-20,0,0,0,0,0,No
Iran,7-Feb-20,0,0,0,0,0,No
Iran,8-Feb-20,0,0,0,0,0,No
Iran,9-Feb-20,0,0,0,0,0,No
Iran,10-Feb-20,0,0,0,0,0,No
Iran,11-Feb-20,0,0,0,0,0,No
Iran,12-Feb-20,0,0,0,0,0,No
Iran,13-Feb-20,0,0,0,0,0,No
Iran,14-Feb-20,0,0,0,0,0,No
Iran,15-Feb-20,0,0,0,0,0,No
Iran,16-Feb-20,0,0,0,0,0,No
Iran,17-Feb-20,0,0,0,0,0,No
Iran,18-Feb-20,0,0,0,0,0,No
Iran,19-Feb-20,2,2,2,2,0,No
Iran,20-Feb-20,5,2,3,0,0,Yes
Iran,21-Feb-20,18,4,13,2,0,Yes
Iran,22-Feb-20,28,5,10,1,0,Yes
Iran,23-Feb-20,43,8,15,3,0,Yes
Iran,24-Feb-20,61,12,18,4,0,Yes
Iran,25-Feb-20,95,16,34,4,0,Yes
Iran,26-Feb-20,139,19,44,3,0,Yes
Iran,27-Feb-20,245,26,106,7,0,Yes
Iran,28-Feb-20,388,34,143,8,0,Yes
Iran,29-Feb-20,593,43,205,9,0,Yes
Iran,1-Mar-20,978,54,385,11,52,Yes
Iran,2-Mar-20,1501,66,523,12,175,Yes
Iran,3-Mar-20,2336,77,835,11,1920,Yes
Iran,4-Mar-20,2922,92,586,15,1724,Yes
Iran,5-Mar-20,3513,107,591,15,712,Yes
Iran,6-Mar-20,4747,124,1234,17,371,Yes
Iran,7-Mar-20,5823,145,1076,21,496,Yes
Iran,8-Mar-20,6566,194,743,49,2134,Yes
Iran,9-Mar-20,7161,237,595,43,2394,Yes
Iran,10-Mar-20,8042,291,881,54,2731,Yes
Iran,11-Mar-20,9000,354,958,63,2959,Yes
Iran,12-Mar-20,10075,429,1075,75,"3,276",Yes
Iran,13-Mar-20,11364,514,1289,85,3529,Yes
Iran,14-Mar-20,12729,611,1365,97,4339,Yes
Iran,15-Mar-20,13938,724,1209,113,4590,Yes
Iran,16-Mar-20,14991,853,1053,129,"4,996",Yes
Iran,17-Mar-20,16169,988,1178,135,5389,Yes
Iran,18-Mar-20,17361,1135,1192,147,5710,Yes
Iran,19-Mar-20,18407,1284,1046,149,5979,Yes
