Country,Confirmed,Death,Recoveries
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,0,0,0
Iran,2,2,0
Iran,5,2,0
Iran,18,4,0
Iran,28,5,0
Iran,43,8,0
Iran,61,12,0
Iran,95,16,0
Iran,139,19,0
Iran,245,26,0
Iran,388,34,0
Iran,593,43,0
Iran,978,54,52
Iran,1501,66,175
Iran,2336,77,1920
Iran,2922,92,1724
Iran,3513,107,712
Iran,4747,124,371
Iran,5823,145,496
Iran,6566,194,2134
Iran,7161,237,2394
Iran,8042,291,2731
Iran,9000,354,2959
Iran,10075,429,"3,276"
Iran,11364,514,3529
Iran,12729,611,4339
Iran,13938,724,4590
Iran,14991,853,"4,996"
Iran,16169,988,5389
Iran,17361,1135,5710
Iran,18407,1284,5979
